"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9281","delete product from cart","ui-tests","2026-03-25","passed","2026-03-25","","deleteFromCart.spec.js","",""
"","0","invalid password login test","ui-tests","2026-03-25","skipped","2026-03-25","","login.spec.js","",""
"","482","GET request - fetch products","ui-tests","2026-03-25","passed","2026-03-25","","api\basicAPI.spec.js","",""
"","2607","invalid username login test","ui-tests","2026-03-25","passed","2026-03-25","","login.spec.js","",""
"","484","GET request - fetch products","api-tests","2026-03-25","passed","2026-03-25","","api\basicAPI.spec.js","",""
"","0","Valid Login test case","ui-tests","2026-03-25","skipped","2026-03-25","","login.spec.js","",""
"","8195","verify product appears in cart","ui-tests","2026-03-25","passed","2026-03-25","","cartValidation.spec.js","",""
"","5289","complete purchase flow for Rahul","ui-tests","2026-03-25","passed","2026-03-25","","purchaseFlow.spec.js","",""
"","8604","Valid Login test case","setup","2026-03-25","passed","2026-03-25","","setup\login.setup.js","",""
"","6117","verify product details page","ui-tests","2026-03-25","passed","2026-03-25","","productDetailsPage.spec.js","",""
"","6749","complete purchase flow for Sneha","ui-tests","2026-03-25","passed","2026-03-25","","purchaseFlow.spec.js","",""
"","6012","add product to cart","ui-tests","2026-03-25","passed","2026-03-25","","addToCart.spec.js","",""
"","3127","filter products by category","ui-tests","2026-03-25","passed","2026-03-25","","categoryFilter.spec.js","",""
