"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","invalid password login test","ui-tests","2026-03-29","skipped","2026-03-29","","login.spec.js","",""
"","0","add product to cart","ui-tests","2026-03-29","skipped","2026-03-29","","addToCart.spec.js","",""
"","1511","Valid Login test case","setup","2026-03-29","passed","2026-03-29","","setup/login.setup.js","",""
"","2943","verify product details page","ui-tests","2026-03-29","passed","2026-03-29","","productDetailsPage.spec.js","",""
"","3392","complete purchase flow for Sneha","ui-tests","2026-03-29","passed","2026-03-29","","purchaseFlow.spec.js","",""
"","3976","delete product from cart","ui-tests","2026-03-29","passed","2026-03-29","","deleteFromCart.spec.js","",""
"","3738","verify product appears in cart","ui-tests","2026-03-29","passed","2026-03-29","","cartValidation.spec.js","",""
"","4400","add product with network logging","ui-tests","2026-03-25","passed","2026-03-25","","addToCart.spec.js","",""
"","896","invalid username login test","ui-tests","2026-03-29","passed","2026-03-29","","login.spec.js","",""
"","2277","log network requests","ui-tests","2026-03-25","passed","2026-03-25","","addToCart.spec.js","",""
"","1","Valid Login test case","ui-tests","2026-03-29","skipped","2026-03-29","","login.spec.js","",""
"","482","GET request - fetch products","ui-tests","2026-03-25","passed","2026-03-25","","api\basicAPI.spec.js","",""
"","2395","complete purchase flow for Rahul","ui-tests","2026-03-29","passed","2026-03-29","","purchaseFlow.spec.js","",""
"","543","filter products by category","ui-tests","2026-03-29","passed","2026-03-29","","categoryFilter.spec.js","",""
"","4728","add product with network validation","ui-tests","2026-03-25","passed","2026-03-25","","addToCart.spec.js","",""
"","1937","modify product id before adding to cart","ui-tests","2026-03-29","passed","2026-03-29","","addToCart.spec.js","",""
"","484","GET request - fetch products","api-tests","2026-03-25","passed","2026-03-25","","api\basicAPI.spec.js","",""
